Run,Date,ELVI250.water,ELVI260.control,ELVI259.control,ELVI251.water
503,3/11/2015 3:00,0.2378,0.2422,0.2095,0.2262
504,3/11/2015 9:00,0.2371,0.2414,0.2095,0.2269
505,3/11/2015 15:00,0.2356,0.2407,0.2189,0.2284
506,3/11/2015 21:00,0.2334,0.2378,0.2095,0.2247
507,3/12/2015 3:00,0.2342,0.2371,0.2124,0.2254
508,3/12/2015 9:00,0.2363,0.2378,0.2196,0.2269
509,3/12/2015 15:00,0.2436,0.2625,0.2407,0.2429
510,3/12/2015 21:00,0.2523,0.2683,0.2523,0.2596
511,3/13/2015 3:00,0.248,0.2698,0.232,0.2422
512,3/13/2015 9:00,0.2451,0.2705,0.2291,0.2327
513,3/13/2015 15:00,0.2436,0.2705,0.2291,0.2334
514,3/13/2015 21:00,0.2407,0.2567,0.2182,0.2298
515,3/14/2015 3:00,0.2392,0.248,0.2153,0.2298
516,3/14/2015 9:00,0.2414,0.2494,0.2175,0.2327
517,3/14/2015 15:00,0.2371,0.2451,0.2233,0.2291
518,3/14/2015 21:00,0.2349,0.2436,0.2138,0.2276
519,3/15/2015 3:00,0.2334,0.2422,0.2109,0.2276
520,3/15/2015 9:00,0.2349,0.2429,0.2124,0.2291
521,3/15/2015 15:00,0.2356,0.2443,0.224,0.2313
522,3/15/2015 21:00,0.2298,0.2385,0.2109,0.2254
523,3/16/2015 3:00,0.2284,0.2371,0.208,0.2254
524,3/16/2015 9:00,0.2305,0.2385,0.2102,0.2298
525,3/16/2015 15:00,0.2356,0.2436,0.224,0.2349
526,3/16/2015 21:00,0.2247,0.2334,0.208,0.2262
527,3/17/2015 3:00,0.224,0.232,0.2051,0.2254
528,3/17/2015 9:00,0.2269,0.2342,0.2073,0.2291
529,3/17/2015 15:00,0.2305,0.2392,0.2225,0.2349
530,3/17/2015 21:00,0.2211,0.2291,0.2066,0.2262
531,3/18/2015 3:00,0.2204,0.2276,0.2051,0.2247
532,3/18/2015 9:00,0.2247,0.2305,0.208,0.2284
533,3/18/2015 15:00,0.2487,0.2719,0.2414,0.2472
534,3/18/2015 21:00,0.2385,0.2661,0.216,0.2313
535,3/19/2015 3:00,0.2371,0.2494,0.2153,0.2313
536,3/19/2015 9:00,0.2371,0.2465,0.216,0.232
537,3/19/2015 15:00,0.2538,0.2683,0.2516,0.2501
538,3/19/2015 21:00,0.2407,0.2516,0.2204,0.2313
539,3/20/2015 3:00,0.2378,0.2436,0.2175,0.2305
540,3/20/2015 9:00,0.2385,0.2436,0.2189,0.232
541,3/20/2015 15:00,0.2378,0.2436,0.2284,0.2334
542,3/20/2015 21:00,0.2661,0.2814,0.2734,0.2777
543,3/21/2015 3:00,0.2494,0.2756,0.2378,0.2429
544,3/21/2015 9:00,0.2516,0.2785,0.2647,0.2552
545,3/21/2015 15:00,0.2639,0.2836,0.2734,0.277
546,3/21/2015 21:00,0.2567,0.2806,0.2465,0.2596
547,3/22/2015 3:00,0.2494,0.2785,0.2305,0.2363
548,3/22/2015 9:00,0.2472,0.277,0.2269,0.2349
549,3/22/2015 15:00,0.2465,0.2654,0.232,0.2349
550,3/22/2015 21:00,0.2436,0.2538,0.2225,0.2327
551,3/23/2015 3:00,0.2414,0.248,0.2175,0.2305
552,3/23/2015 9:00,0.2451,0.2494,0.2211,0.2342
553,3/23/2015 15:00,0.2451,0.2538,0.2269,0.2378
554,3/23/2015 21:00,0.2363,0.2429,0.2109,0.2276
555,3/24/2015 3:00,0.2334,0.2378,0.208,0.2262
556,3/24/2015 9:00,0.2385,0.2407,0.2131,0.232
