"","y_m","AGPE130.water","AGHY129.water","AGHY140.control","AGPE141.control"
"1","2014/11",0.20154387755102,0.244714285714286,0.214510204081633,0.16774387755102
"2","2014/12",0.208718548387097,0.245062096774194,0.208286290322581,0.172645161290323
"3","2015/1",0.214315322580645,0.244302419354839,0.21794435483871,0.210079838709677
"4","2015/10",0.16325564516129,0.224154838709677,0.0531661290322581,0.0712508064516129
"5","2015/11",0.22783,0.2345875,0.197653333333333,0.225666666666667
"6","2015/12",0.224696774193548,0.222610483870968,0.19525,0.221424193548387
"7","2015/2",0.200285714285714,0.226282142857143,0.189627678571429,0.210334821428571
"8","2015/3",0.222048387096774,0.245720967741935,0.218013709677419,0.234050806451613
"9","2015/4",0.207724166666667,0.239359166666667,0.20694,0.227189166666667
"10","2015/5",0.221145161290323,0.237,0.211313709677419,0.234402419354839
"11","2015/6",0.18275,0.18635,0.168293333333333,0.1935
"12","2015/7",0.130145967741935,0.112470161290323,0.0213661290322581,0.0434443548387097
"13","2015/8",0.10185,0.170337903225806,0.0347491935483871,0.0519467741935484
"14","2015/9",0.120318333333333,0.1865675,0.0225475,0.036215
"15","2016/1",0.226320161290323,0.230896774193548,0.189857258064516,0.219770967741935
"16","2016/2",0.222120689655172,0.233070689655172,0.162755172413793,0.190430172413793
"17","2016/3",0.2231168,0.229,0.1869544,0.2090232
"18","2016/4",0.19036,0.2078925,0.1466275,0.171825
"19","2016/5",0.118521818181818,0.123456363636364,0.103768181818182,0.605032727272727
