Run,Date,AGPE130.water,AGHY129.water ,AGHY140.control,AGPE141.control
1,11/6/2014 15:00,0.2218,0.261,0.216,0.1637
2,11/6/2014 21:00,0.2066,0.2545,0.2124,0.1623
3,11/7/2014 3:00,0.2008,0.2523,0.2102,0.1608
4,11/7/2014 9:00,0.2058,0.2538,0.2102,0.1615
5,11/7/2014 15:00,0.2022,0.253,0.2102,0.1579
6,11/7/2014 21:00,0.1971,0.2465,0.2066,0.1557
7,11/8/2014 3:00,0.1942,0.2458,0.2037,0.155
8,11/8/2014 9:00,0.2051,0.2509,0.2051,0.1572
9,11/8/2014 15:00,0.2015,0.2501,0.2066,0.1557
10,11/8/2014 21:00,0.1957,0.2443,0.2022,0.1528
11,11/9/2014 3:00,0.1935,0.2429,0.2,0.1521
12,11/9/2014 9:00,0.2044,0.2494,0.2008,0.1535
13,11/9/2014 15:00,0.2,0.248,0.2029,0.1521
14,11/9/2014 21:00,0.1935,0.2422,0.1986,0.1499
15,11/10/2014 3:00,0.1913,0.24,0.1971,0.1492
16,11/10/2014 9:00,0.2037,0.2494,0.1986,0.1521
17,11/10/2014 15:00,0.2,0.248,0.2008,0.1499
18,11/10/2014 21:00,0.1942,0.2422,0.1978,0.1477
19,11/11/2014 3:00,0.1928,0.24,0.1971,0.1485
20,11/11/2014 9:00,0.2051,0.248,0.1971,0.1485
21,11/11/2014 15:00,0.1978,0.2465,0.1971,0.1463
22,11/11/2014 21:00,0.1928,0.2407,0.1935,0.1456
23,11/12/2014 3:00,0.1906,0.2378,0.1928,0.1448
24,11/12/2014 9:00,0.2029,0.2443,0.192,0.1456
25,11/12/2014 15:00,0.1978,0.2429,0.1942,0.1434
26,11/12/2014 21:00,0.1928,0.2385,0.1906,0.1419
27,11/13/2014 3:00,0.1899,0.2371,0.1899,0.1419
28,11/13/2014 9:00,0.2029,0.2422,0.1899,0.1426
29,11/13/2014 15:00,0.1964,0.24,0.1899,0.139
30,11/13/2014 21:00,0.1913,0.2356,0.187,0.1376
31,11/14/2014 3:00,0.1884,0.2334,0.1862,0.1368
32,11/14/2014 9:00,0.1935,0.2378,0.1862,0.139
33,11/14/2014 15:00,0.1913,0.2363,0.187,0.1361
34,11/14/2014 21:00,0.1877,0.2334,0.1862,0.1368
35,11/15/2014 3:00,0.187,0.2313,0.1855,0.1376
36,11/15/2014 9:00,0.2008,0.24,0.1855,0.1376
37,11/15/2014 15:00,0.1949,0.2385,0.1855,0.1354
38,11/15/2014 21:00,0.1913,0.2363,0.1848,0.1368
39,11/16/2014 3:00,0.2516,0.2618,0.2639,0.2167
40,11/16/2014 9:00,0.2175,0.2596,0.2509,0.1935
41,11/16/2014 15:00,0.2102,0.2567,0.2443,0.1877
42,11/16/2014 21:00,0.2073,0.2545,0.2363,0.1833
43,11/17/2014 3:00,0.2037,0.2516,0.232,0.1775
44,11/17/2014 9:00,0.2102,0.256,0.2291,0.1768
45,11/17/2014 15:00,0.208,0.2552,0.2269,0.1768
46,11/17/2014 21:00,0.2022,0.2501,0.2218,0.1702
47,11/18/2014 3:00,0.2,0.248,0.2189,0.1688
48,11/18/2014 9:00,0.2008,0.248,0.2167,0.1702
49,11/18/2014 15:00,0.1993,0.248,0.2182,0.171
50,11/18/2014 21:00,0.1949,0.2429,0.2131,0.1652
51,11/19/2014 3:00,0.1935,0.2414,0.2109,0.1637
52,11/19/2014 9:00,0.1949,0.2422,0.2116,0.1666
