"Plot Title: LOMULOAR"
"#","Date Time, GMT-05:00","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³"
81,04/06/15 08:45:03 PM,-0.2953,0.2189,-0.2590,0.2240
82,04/07/15 12:45:03 AM,-0.2750,0.2167,-0.2873,0.2204
83,04/07/15 04:45:03 AM,-0.2517,0.2160,-0.2830,0.2189
84,04/07/15 08:45:03 AM,-0.2576,0.2153,-0.2801,0.2175
85,04/07/15 12:45:03 PM,-0.2394,0.2160,-0.3650,0.2196
86,04/07/15 04:45:03 PM,-0.2387,0.2116,-0.1769,0.2146
87,04/07/15 08:45:03 PM,-0.2975,0.2058,-0.3302,0.2037
88,04/08/15 12:45:03 AM,-0.2183,0.2044,-0.3353,0.2022
89,04/08/15 04:45:03 AM,-0.2154,0.2044,-0.3193,0.2015
90,04/08/15 08:45:03 AM,-0.2241,0.2037,-0.3084,0.2015
91,04/08/15 12:45:03 PM,-0.2663,0.2051,-0.2975,0.2037
92,04/08/15 04:45:03 PM,-0.2946,0.2029,-0.2459,0.2008
93,04/08/15 08:45:03 PM,-0.2917,0.1986,-0.3462,0.1935
94,04/09/15 12:45:03 AM,-0.2459,0.1978,-0.3396,0.1928
95,04/09/15 04:45:03 AM,-0.2583,0.1978,-0.3418,0.1928
96,04/09/15 08:45:03 AM,-0.2619,0.1978,-0.3353,0.1928
97,04/09/15 12:45:03 PM,-0.3803,0.1986,-0.3353,0.1942
98,04/09/15 04:45:03 PM,-0.3542,0.1971,-0.3135,0.1920
99,04/09/15 08:45:03 PM,-0.3839,0.1949,-0.3549,0.1891
100,04/10/15 12:45:03 AM,-0.3592,0.1949,-0.3360,0.1884
101,04/10/15 04:45:03 AM,-0.1079,0.2153,-0.2140,0.2116
102,04/10/15 08:45:03 AM,-0.1559,0.2102,-0.2576,0.2037
103,04/10/15 12:45:03 PM,-0.1675,0.2080,-0.2699,0.2015
104,04/10/15 04:45:03 PM,-0.1733,0.2058,-0.3084,0.2000
105,04/10/15 08:45:03 PM,-0.2445,0.2029,-0.3215,0.1949
106,04/11/15 12:45:03 AM,-0.2764,0.2008,-0.3273,0.1920
107,04/11/15 04:45:03 AM,-0.2859,0.1993,-0.2859,0.1906
108,04/11/15 08:45:03 AM,-0.2859,0.1986,-0.2881,0.1906
109,04/11/15 12:45:03 PM,-0.2125,0.2008,-0.3048,0.1964
110,04/11/15 04:45:03 PM,-0.3069,0.1978,-0.2227,0.1928
111,04/11/15 08:45:03 PM,-0.3011,0.1942,-0.3425,0.1862
