"Plot Title: LOMULOAR"
"#","Date Time, GMT-06:00","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³"
96,03/19/16 07:06:54 AM,0.1840,-0.3186,0.1630
97,03/19/16 11:06:54 AM,0.1833,-0.0179,0.1644
98,03/19/16 03:06:54 PM,0.1811,0.0540,0.1615
99,03/19/16 07:06:54 PM,0.1782,-0.3396,0.1564
100,03/19/16 11:06:54 PM,0.1775,-0.2278,0.1550
101,03/20/16 03:06:54 AM,0.1761,-0.2525,0.1528
102,03/20/16 07:06:54 AM,0.1753,-0.1653,0.1521
103,03/20/16 11:06:54 AM,0.1753,0.0904,0.1557
104,03/20/16 03:06:54 PM,0.1724,0.0904,0.1506
105,03/20/16 07:06:54 PM,0.1688,-0.3273,0.1456
106,03/20/16 11:06:54 PM,0.1681,-0.3157,0.1448
107,03/21/16 03:06:54 AM,0.1673,-0.2743,0.1434
108,03/21/16 07:06:54 AM,0.1666,-0.3069,0.1426
109,03/21/16 11:06:54 AM,0.1681,0.1252,0.1456
110,03/21/16 03:06:54 PM,0.1652,0.1397,0.1405
111,03/21/16 07:06:54 PM,0.1615,-0.3454,0.1354
112,03/21/16 11:06:54 PM,0.1615,-0.3229,0.1339
113,03/22/16 03:06:54 AM,0.1608,-0.3527,0.1339
114,03/22/16 07:06:54 AM,0.1601,-0.3425,0.1339
115,03/22/16 11:06:54 AM,0.1608,0.1339,0.1339
116,03/22/16 03:06:54 PM,0.1564,0.1361,0.1259
117,03/22/16 07:06:54 PM,0.1535,-0.2387,0.1216
118,03/22/16 11:06:54 PM,0.1528,-0.3069,0.1216
119,03/23/16 03:06:54 AM,0.1528,-0.2881,0.1216
120,03/23/16 07:06:54 AM,0.1535,-0.2779,0.1209
121,03/23/16 11:06:54 AM,0.1528,0.0141,0.1194
122,03/23/16 03:06:54 PM,0.1499,0.0322,0.1136
123,03/23/16 07:06:54 PM,0.1477,-0.1631,0.1107
124,03/23/16 11:06:54 PM,0.1477,-0.2539,0.1114
125,03/24/16 03:06:54 AM,0.2124,-0.0157,0.2233
126,03/24/16 07:06:54 AM,0.2589,-0.3491,0.2182
127,03/24/16 11:06:54 AM,0.2349,-0.2103,0.2044
128,03/24/16 03:06:54 PM,0.2204,0.0751,0.1935
129,03/24/16 07:06:54 PM,0.2124,-0.3396,0.1848
130,03/24/16 11:06:54 PM,0.2080,-0.3244,0.1811
131,03/25/16 03:06:54 AM,0.2051,-0.3295,0.1790
132,03/25/16 07:06:54 AM,0.2037,-0.3200,0.1775
133,03/25/16 11:06:54 AM,0.2037,0.1245,0.1819
134,03/25/16 03:06:54 PM,0.2008,0.1223,0.1768
135,03/25/16 07:06:54 PM,0.1964,-0.4006,0.1702
136,03/25/16 11:06:54 PM,0.1949,-0.3534,0.1681
137,03/26/16 03:06:54 AM,0.1935,-0.3374,0.1673
138,03/26/16 07:06:54 AM,0.1920,-0.3273,0.1666
139,03/26/16 11:06:54 AM,0.1928,0.1470,0.1688
140,03/26/16 03:06:54 PM,0.1899,0.1572,0.1637
141,03/26/16 07:06:54 PM,0.1870,-0.3643,0.1586
142,03/26/16 11:06:54 PM,0.1870,-0.2917,0.1564
143,03/27/16 03:06:54 AM,0.1862,-0.3295,0.1550
144,03/27/16 07:06:54 AM,0.1862,-0.3084,0.1557
145,03/27/16 11:06:54 AM,0.1862,0.1172,0.1572
146,03/27/16 03:06:54 PM,0.1840,0.1274,0.1528
147,03/27/16 07:06:54 PM,0.1811,-0.3992,0.1477
148,03/27/16 11:06:54 PM,0.1797,-0.3178,0.1456
149,03/28/16 03:06:54 AM,0.1790,-0.3244,0.1448
150,03/28/16 07:06:54 AM,0.1782,-0.3266,0.1441
151,03/28/16 11:06:54 AM,0.1782,0.1572,0.1456
152,03/28/16 03:06:54 PM,0.1739,0.1579,0.1354
153,03/28/16 07:06:54 PM,0.1702,-0.3658,0.1310
